Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3,Cases_28_Days,Deaths_28_Days
,Afghanistan,2023-01-18 20:21:03,33.93911,67.709953,208034,7860,,,,,Afghanistan,534.4024293252055,,,4,AFG,863,14
,Albania,2023-01-18 20:21:03,41.1533,20.1683,334084,3596,,,,,Albania,11609.00688025575,,,8,ALB,378,2
,Algeria,2023-01-18 20:21:03,28.0339,1.6596,271292,6881,,,,,Algeria,618.667154621613,,,12,DZA,110,0
,Andorra,2023-01-18 20:21:03,42.5063,1.5218,47781,165,,,,,Andorra,61840.41933605125,,,20,AND,95,0
,Angola,2023-01-18 20:21:03,-11.2027,17.8739,105095,1930,,,,,Angola,319.7655419836533,,,24,AGO,149,2
,Antarctica,2023-01-18 20:21:03,-71.9499,23.347,11,0,,,,,Antarctica,,,,10,ATA,0,0
,Antigua and Barbuda,2023-01-18 20:21:03,17.0608,-61.7964,9106,146,,,,,Antigua and Barbuda,9298.668409443671,,,28,ATG,0,0
,Argentina,2023-01-18 20:21:03,-38.4161,-63.6167,10024095,130338,,,,,Argentina,22179.273519293627,,,32,ARG,194859,258
,Armenia,2023-01-18 20:21:03,40.0691,45.0382,446008,8717,,,,,Armenia,15051.393173809423,,,51,ARM,127,5
Australian Capital Territory,Australia,2023-01-18 20:21:03,-35.4735,149.0124,229434,148,,,,,"Australian Capital Territory, Australia",53593.55290819902,,,3601,AUS,7716,12
New South Wales,Australia,2023-01-18 20:21:03,-33.8688,151.2093,3858737,5993,,,,,"New South Wales, Australia",47533.09928553831,,,3602,AUS,99617,299
Northern Territory,Australia,2023-01-18 20:21:03,-12.4634,130.8456,103914,87,,,,,"Northern Territory, Australia",42310.260586319215,,,3603,AUS,1765,3
Queensland,Australia,2023-01-18 20:21:03,-27.4698,153.0251,1771741,2526,,,,,"Queensland, Australia",34634.75711074186,,,3604,AUS,41838,132
South Australia,Australia,2023-01-18 20:21:03,-34.9285,138.6007,870164,1203,,,,,"South Australia, Australia",49539.65271847424,,,3605,AUS,27836,77
Tasmania,Australia,2023-01-18 20:21:03,-42.8821,147.3272,283417,237,,,,,"Tasmania, Australia",52925.67693744164,,,3606,AUS,10398,21
Victoria,Australia,2023-01-18 20:21:03,-37.8136,144.9631,2853876,6638,,,,,"Victoria, Australia",43045.53613176669,,,3607,AUS,43571,361
Western Australia,Australia,2023-01-18 20:21:03,-31.9505,115.8605,1276129,880,,,,,"Western Australia, Australia",48510.94807268304,,,3608,AUS,31291,73
,Austria,2023-01-18 20:21:03,47.5162,14.5501,5747540,21589,,,,,Austria,63816.17516432759,,,40,AUT,88338,244
,Azerbaijan,2023-01-18 20:21:03,40.1431,47.5769,827525,10060,,,,,Azerbaijan,8161.66009561922,,,31,AZE,1923,57
,Bahamas,2023-01-18 20:21:03,25.025885,-78.035889,37491,833,,,,,Bahamas,9533.678492961184,,,44,BHS,0,0
,Bahrain,2023-01-18 20:21:03,26.0275,50.55,699700,1540,,,,,Bahrain,41120.53305657144,,,48,BHR,1762,1
,Bangladesh,2023-01-18 20:21:03,23.685,90.3563,2037399,29441,,,,,Bangladesh,1237.116177671271,,,50,BGD,419,3
,Barbados,2023-01-18 20:21:03,13.1939,-59.5432,105905,569,,,,,Barbados,36853.05754582056,,,52,BRB,961,1
,Belarus,2023-01-18 20:21:03,53.7098,27.9534,994037,7118,,,,,Belarus,10519.665910386577,,,112,BLR,0,0
Antwerp,Belgium,2023-01-18 20:21:03,51.2195,4.4024,755137,0,,,,,"Antwerp, Belgium",40642.7712587716,,,5601,BEL,3591,0
Brussels,Belgium,2023-01-18 20:21:03,50.8503,4.3517,503175,0,,,,,"Brussels, Belgium",41634.8790526105,,,5602,BEL,1680,0
East Flanders,Belgium,2023-01-18 20:21:03,51.0362,3.7373,634729,0,,,,,"East Flanders, Belgium",41894.53382827392,,,5603,BEL,3428,0
Flemish Brabant,Belgium,2023-01-18 20:21:03,50.9167,4.5833,458786,0,,,,,"Flemish Brabant, Belgium",40027.569960957095,,,5604,BEL,2397,0
Hainaut,Belgium,2023-01-18 20:21:03,50.5257,4.0621,515748,0,,,,,"Hainaut, Belgium",38367.2273052228,,,5605,BEL,2401,0
Liege,Belgium,2023-01-18 20:21:03,50.4496,5.8492,416685,0,,,,,"Liege, Belgium",37641.1934322922,,,5606,BEL,1359,0
Limburg,Belgium,2023-01-18 20:21:03,50.9739,5.342,346813,0,,,,,"Limburg, Belgium",39678.942117595376,,,5607,BEL,1898,0
Luxembourg,Belgium,2023-01-18 20:21:03,50.0547,5.4677,122286,0,,,,,"Luxembourg, Belgium",42961.937619010816,,,5608,BEL,425,0
Namur,Belgium,2023-01-18 20:21:03,50.331,4.8221,201696,0,,,,,"Namur, Belgium",40802.30617508724,,,5609,BEL,794,0
Unknown,Belgium,2023-01-18 20:21:03,,,62878,33478,,,,,"Unknown, Belgium",,,,5610,BEL,255,267
Walloon Brabant,Belgium,2023-01-18 20:21:03,50.4,4.35,172789,0,,,,,"Walloon Brabant, Belgium",42812.04859278641,,,5611,BEL,699,0
West Flanders,Belgium,2023-01-18 20:21:03,51.0536,3.1458,495425,0,,,,,"West Flanders, Belgium",41430.56173461025,,,5612,BEL,2739,0
,Belize,2023-01-18 20:21:03,17.1899,-88.4976,70555,688,,,,,Belize,17744.284129862357,,,84,BLZ,880,0
,Benin,2023-01-18 20:21:03,9.3077,2.3158,27989,163,,,,,Benin,230.87142518005564,,,204,BEN,7,0
,Bhutan,2023-01-18 20:21:03,27.5142,90.4336,62577,21,,,,,Bhutan,8109.90497814964,,,64,BTN,53,0
,Bolivia,2023-01-18 20:21:03,-16.2902,-63.5887,1181351,22337,,,,,Bolivia,10120.346655525314,,,68,BOL,46305,66
,Bosnia and Herzegovina,2023-01-18 20:21:03,43.9159,17.6791,401232,16244,,,,,Bosnia and Herzegovina,12229.644158539875,,,70,BIH,405,24
,Botswana,2023-01-18 20:21:03,-22.3285,24.6849,328581,2795,,,,,Botswana,13972.508371870515,,,72,BWA,1070,1
