Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Afghanistan,2023-02-22 00:20:57,33.93911,67.709953,209181,7896,,,537.3488687843133,,,3.7747214135127,4,AFG,1056,26
Albania,2023-02-22 00:20:57,41.1533,20.1683,334336,3596,,,11617.763569393286,,,1.075564701378254,8,ALB,214,0
Algeria,2023-02-22 00:20:57,28.0339,1.6596,271428,6881,,,618.9772954773276,,,2.5351106002328425,12,DZA,80,0
Andorra,2023-02-22 00:20:57,42.5063,1.5218,47866,165,,,61950.43033715136,,,0.3447123218986337,20,AND,46,0
Angola,2023-02-22 00:20:57,-11.2027,17.8739,105184,1931,,,320.03633634339013,,,1.835830544569516,24,AGO,89,1
Antarctica,2023-02-22 00:20:57,-71.9499,23.347,11,0,,,,,,0.0,10,ATA,0,0
Antigua and Barbuda,2023-02-22 00:20:57,17.0608,-61.7964,9106,146,,,9298.668409443671,,,1.6033384581594552,28,ATG,0,0
Argentina,2023-02-22 00:20:57,-38.4161,-63.6167,10043308,130458,,,22221.7841281941,,,1.2989544879037862,32,ARG,10599,64
Armenia,2023-02-22 00:20:57,40.0691,45.0382,446332,8719,,,15062.327173621792,,,1.9534785764856653,51,ARM,324,2
Australia,2023-02-22 00:20:57,-25.0,133.0,11347698,19265,,,44571.21647152166,,,0.1697701154895028,36,AUS,73436,1173
Austria,2023-02-22 00:20:57,47.5162,14.5501,5871234,21825,,,65189.57630129685,,,0.3717276470329747,40,AUT,109538,194
Azerbaijan,2023-02-22 00:20:57,40.1431,47.5769,828395,10105,,,8170.240675400119,,,1.2198287049052683,31,AZE,679,35
Bahamas,2023-02-22 00:20:57,25.025885,-78.035889,37491,833,,,9533.678492961184,,,2.2218665813128484,44,BHS,0,0
Bahrain,2023-02-22 00:20:57,26.0275,50.55,705135,1548,,,41439.94151328498,,,0.2195324299602203,48,BHR,4705,7
Bangladesh,2023-02-22 00:20:57,23.685,90.3563,2037738,29445,,,1237.3220197199962,,,1.4449845858496038,50,BGD,282,4
Barbados,2023-02-22 00:20:57,13.1939,-59.5432,106434,573,,,37037.1401428815,,,0.5383618016799143,52,BRB,529,4
Belarus,2023-02-22 00:20:57,53.7098,27.9534,994037,7118,,,10519.665910386577,,,0.7160699249625517,112,BLR,0,0
Belgium,2023-02-22 00:20:57,50.8333,4.469936,4708273,33663,,,40967.72012629647,,,0.714975533491792,56,BEL,19346,138
Belize,2023-02-22 00:20:57,17.1899,-88.4976,70740,688,,,17790.8108475156,,,0.9725756290641788,84,BLZ,130,0
Benin,2023-02-22 00:20:57,9.3077,2.3158,27990,163,,,230.8796738286383,,,0.5823508395855663,204,BEN,1,0
Bhutan,2023-02-22 00:20:57,27.5142,90.4336,62611,21,,,8114.311337822636,,,0.0335404321924262,64,BTN,13,0
Bolivia,2023-02-22 00:20:57,-16.2902,-63.5887,1192246,22362,,,10213.681470336447,,,1.875619628834989,68,BOL,8499,20
Bosnia and Herzegovina,2023-02-22 00:20:57,43.9159,17.6791,401527,16267,,,12238.635826768654,,,4.05128422248068,70,BIH,215,19
Botswana,2023-02-22 00:20:57,-22.3285,24.6849,329662,2801,,,14018.476585339924,,,0.8496581346955366,72,BWA,815,6
Brazil,2023-02-22 00:20:57,-14.235,-51.9253,36987682,698050,,,17401.103142886514,,,1.8872499228256585,76,BRA,256769,1726
Brunei,2023-02-22 00:20:57,4.5353,114.7277,277441,225,,,63417.54993908335,,,0.0810983236075417,96,BRN,3224,0
Bulgaria,2023-02-22 00:20:57,42.7339,25.4858,1296299,38206,,,18655.95827555662,,,2.947313852745393,100,BGR,1312,39
Burkina Faso,2023-02-22 00:20:57,12.2383,-1.5616,22056,396,,,105.51455135409864,,,1.7954298150163222,854,BFA,31,0
Burma,2023-02-22 00:20:57,21.9162,95.956,633901,19490,,,1165.0494394446705,,,3.074612597235215,104,MMR,96,0
Burundi,2023-02-22 00:20:57,-3.3731,29.9189,53609,38,,,450.8450706475883,,,0.0708836202876382,108,BDI,1180,0
Cabo Verde,2023-02-22 00:20:57,16.5388,-23.0418,63239,413,,,11374.166348914005,,,0.6530780056610636,132,CPV,15,1
Cambodia,2023-02-22 00:20:57,11.55,104.9167,138712,3056,,,829.6682852072654,,,2.203125901147702,116,KHM,31,0
Cameroon,2023-02-22 00:20:57,3.848,11.5021,124328,1965,,,468.3516799453203,,,1.5804967505308538,120,CMR,335,0
Canada,2023-02-22 00:20:57,60.001,-95.001,4593925,51228,,,12011.48362599405,,,1.1151248659914996,124,CAN,39331,915
Central African Republic,2023-02-22 00:20:57,6.6111,20.9394,15368,113,,,318.1936011780286,,,0.7352941176470589,140,CAF,7,0
Chad,2023-02-22 00:20:57,15.4542,18.7322,7675,194,,,46.72510582247175,,,2.527687296416938,148,TCD,24,0
Chile,2023-02-22 00:20:57,-35.6751,-71.543,5151881,64106,,,26950.327860508325,,,1.2443222193990895,152,CHL,45337,419
China,2023-02-22 00:20:57,30.5928,114.3055,4903523,101036,,,347.3294303590879,,,2.060477742227374,156,CHN,15819,9923
Colombia,2023-02-22 00:20:57,4.5709,-74.2973,6356468,142296,,,12492.350079842172,,,2.238601688862431,170,COL,8112,211
Comoros,2023-02-22 00:20:57,-11.6455,43.3333,8997,161,,,1034.6195642799237,,,1.7894853840168945,174,COM,5,0
Congo (Brazzaville),2023-02-22 00:20:57,-0.228,15.8277,25073,388,,,454.37807126086335,,,1.5474813544450206,178,COG,-302,0
Congo (Kinshasa),2023-02-22 00:20:57,-4.0383,21.7587,95646,1464,,,106.79377022718404,,,1.5306442506743616,180,COD,174,1
Costa Rica,2023-02-22 00:20:57,9.7489,-83.7534,1194584,9195,,,23450.28006832984,,,0.7697240210818159,188,CRI,17070,72
Cote d'Ivoire,2023-02-22 00:20:57,7.54,-5.5471,88114,834,,,334.04003863027435,,,0.9465011235444992,384,CIV,148,1
Croatia,2023-02-22 00:20:57,45.1,15.2,1268604,17950,,,30901.8558593495,,,1.4149411479074636,191,HRV,1523,122
Cuba,2023-02-22 00:20:57,21.521757,-77.781167,1112553,8530,,,9822.465950995424,,,0.7667050468606889,192,CUB,191,0
Cyprus,2023-02-22 00:20:57,35.1264,33.4299,647031,1297,,,53590.51683796313,,,0.2004540740706396,196,CYP,6302,17
Czechia,2023-02-22 00:20:57,49.8175,15.473,4602994,42391,,,42982.5542707981,,,0.9209440637984756,203,CZE,14350,97
Denmark,2023-02-22 00:20:57,56.2639,9.5018,3449219,8286,,,59090.16854447491,,,0.240228295158991,208,DNK,3937,145
Diamond Princess,2023-02-22 00:20:57,,,712,13,,,,,,1.8258426966292132,9999,,0,0
Djibouti,2023-02-22 00:20:57,11.8251,42.5903,15690,189,,,1588.0534654788148,,,1.2045889101338432,262,DJI,0,0
Dominica,2023-02-22 00:20:57,15.415,-61.371,15760,74,,,21891.625342056646,,,0.4695431472081218,212,DMA,0,0
Dominican Republic,2023-02-22 00:20:57,18.7357,-70.1627,660492,4384,,,6088.660076637846,,,0.663747630554193,214,DOM,731,0
Ecuador,2023-02-22 00:20:57,-1.8312,-78.1834,1056578,36008,,,5988.632357425526,,,3.407983130445646,218,ECU,8954,68
Egypt,2023-02-22 00:20:57,26.820553,30.802498,515698,24809,,,503.9341461736968,,,4.810761337061614,818,EGY,53,4
El Salvador,2023-02-22 00:20:57,13.7942,-88.8965,201785,4230,,,3110.9890057369485,,,2.096290606338429,222,SLV,0,0
