Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Delta_Confirmed,Delta_Recovered,Incident_Rate,People_Tested,People_Hospitalized,Province_State,FIPS,UID,iso3,Report_Date_String,Delta_Deaths,Doses_Admin,Delta_Doses_Admin
Afghanistan,2/2/23,208669,7891,,,117,,536.0336316412764,,,,,4,AFG,2023/02/02,9,12684950,0
Afghanistan,2/4/23,208621,7894,,,,,535.9103281591168,,,,,4,AFG,2023/02/04,3,12684950,0
Afghanistan,2/5/23,208627,7896,,,6,,535.9257410943867,,,,,4,AFG,2023/02/05,2,12684950,0
Afghanistan,2/6/23,208704,7896,,,77,,536.1235404303512,,,,,4,AFG,2023/02/06,0,12684950,0
Afghanistan,2/7/23,208721,7896,,,17,,536.1672104136161,,,,,4,AFG,2023/02/07,0,12684950,0
Afghanistan,2/8/23,208771,7896,,,50,,536.2956515408658,,,,,4,AFG,2023/02/08,0,12684950,0
Afghanistan,2/10/23,208943,7896,,,172,,536.7374890186047,,,,,4,AFG,2023/02/10,0,12684950,0
Afghanistan,2/11/23,208971,7896,,,28,,536.8094160498646,,,,,4,AFG,2023/02/11,0,12684950,0
Afghanistan,2/12/23,208982,7896,,,11,,536.8376730978595,,,,,4,AFG,2023/02/12,0,12684950,0
Afghanistan,2/13/23,209011,7896,,,29,,536.9121689516643,,,,,4,AFG,2023/02/13,0,12768909,83959
Afghanistan,2/14/23,209036,7896,,,25,,536.9763895152892,,,,,4,AFG,2023/02/14,0,12768909,0
Afghanistan,2/15/23,209056,7896,,,20,,537.027765966189,,,,,4,AFG,2023/02/15,0,12788310,19401
Afghanistan,2/16/23,209072,7896,,,16,,537.0688671269089,,,,,4,AFG,2023/02/16,0,12788310,0
Afghanistan,2/17/23,209083,7896,,,11,,537.0971241749038,,,,,4,AFG,2023/02/17,0,12788310,0
Afghanistan,2/18/23,209084,7896,,,1,,537.0996929974489,,,,,4,AFG,2023/02/18,0,12788310,0
Afghanistan,2/19/23,209107,7896,,,23,,537.1587759159837,,,,,4,AFG,2023/02/19,0,12788310,0
Afghanistan,2/20/23,209153,7896,,,46,,537.2769417530534,,,,,4,AFG,2023/02/20,0,13603457,815147
Afghanistan,2/21/23,209181,7896,,,28,,537.3488687843133,,,,,4,AFG,2023/02/21,0,13603457,0
Afghanistan,2/23/23,209215,7896,,,34,,537.436208750843,,,,,4,AFG,2023/02/23,0,13603457,0
Afghanistan,2/24/23,209230,7896,,,15,,537.4747410890179,,,,,4,AFG,2023/02/24,0,13910490,307033
Afghanistan,2/25/23,209246,7896,,,16,,537.5158422497378,,,,,4,AFG,2023/02/25,0,13910490,0
Afghanistan,2/26/23,209274,7896,,,28,,537.5877692809976,,,,,4,AFG,2023/02/26,0,13910490,0
Afghanistan,2/27/23,209308,7896,,,34,,537.6751092475274,,,,,4,AFG,2023/02/27,0,13910490,0
Afghanistan,2/28/23,209322,7896,,,14,,537.7110727631573,,,,,4,AFG,2023/02/28,0,14743912,833422
Afghanistan,3/1/23,209340,7896,,,18,,537.7573115689672,,,,,4,AFG,2023/03/01,0,,
Albania,2/2/23,334187,3596,,,10,,11612.586003196886,,,,,8,ALB,2023/02/02,0,3047340,0
Albania,2/3/23,334203,3596,,,16,,11613.141983459587,,,,,8,ALB,2023/02/03,0,3047340,0
Albania,2/4/23,334204,3596,,,1,,11613.176732226006,,,,,8,ALB,2023/02/04,0,3047340,0
Albania,2/5/23,334211,3596,,,7,,11613.419973590937,,,,,8,ALB,2023/02/05,0,3047340,0
Albania,2/8/23,334222,3596,,,11,,11613.802210021544,,,,,8,ALB,2023/02/08,0,3058102,0
Albania,2/9/23,334229,3596,,,7,,11614.045451386475,,,,,8,ALB,2023/02/09,0,3058102,0
Albania,2/11/23,334234,3596,,,5,,11614.21919521857,,,,,8,ALB,2023/02/11,0,3058102,0
Albania,2/12/23,334255,3596,,,21,,11614.948919313365,,,,,8,ALB,2023/02/12,0,3058102,0
Albania,2/14/23,334264,3596,,,9,,11615.261658211133,,,,,8,ALB,2023/02/14,0,3058102,0
Albania,2/16/23,334273,3596,,,9,,11615.574397108903,,,,,8,ALB,2023/02/16,0,3058102,0
Albania,2/17/23,334291,3596,,,18,,11616.199874904441,,,,,8,ALB,2023/02/17,0,3058102,0
Albania,2/18/23,334305,3596,,,14,,11616.686357634304,,,,,8,ALB,2023/02/18,0,3058102,0
